# V78.3.0.3 source recovery manifest
# source_ref is the read-only staged index tree used for parity verification.
# source_commit_or_index is the earliest reachable historical commit proving the same blob; INDEX_ONLY means no reachable commit proof.
# Rehomed static assets are listed after the indexed source rows.
path	source_ref	source_commit_or_index	blob_sha	evidence	modified
frontend/admin.html	integration/master-production-20260828:index@4d2925e5d0029924c3e6cafa4b11278d6f407f42	0923a46695a1c91e735d21f25661147e6afd33f3	47a40e25f122221874316256bfc61206ca2c83cb	exact-production-dist-parity; frontend build input	no-bytes-changed
frontend/index.html	integration/master-production-20260828:index@4d2925e5d0029924c3e6cafa4b11278d6f407f42	0923a46695a1c91e735d21f25661147e6afd33f3	10c05089c93a28650eb9b60d00fd3bc846de4eb3	exact-production-dist-parity; frontend build input	no-bytes-changed
frontend/package-lock.json	integration/master-production-20260828:index@4d2925e5d0029924c3e6cafa4b11278d6f407f42	1fa9af64fd7a9bfe98abb1fe00fdc059d861e6a4	8a55cd12b3314c49208272699557c2d747e63b37	exact-production-dist-parity; frontend build input	no-bytes-changed
frontend/package.json	integration/master-production-20260828:index@4d2925e5d0029924c3e6cafa4b11278d6f407f42	1fa9af64fd7a9bfe98abb1fe00fdc059d861e6a4	955ea60b48813aa0a8d3a9115664d5fae9398501	exact-production-dist-parity; frontend build input	no-bytes-changed
frontend/src/admin/App.jsx	integration/master-production-20260828:index@4d2925e5d0029924c3e6cafa4b11278d6f407f42	ee8eb9f64999b70fc1bde267472a1463375c6f9a	c496c737bdba82756540238496a33084876fee61	exact-production-dist-parity; frontend build input	no-bytes-changed
frontend/src/admin/main.jsx	integration/master-production-20260828:index@4d2925e5d0029924c3e6cafa4b11278d6f407f42	5ccd4f5b4a613f74c7d1df17e61c0d207578eac0	8b664216ea712e8762b95f3e768a477dc99da395	exact-production-dist-parity; frontend build input	no-bytes-changed
frontend/src/admin/pages/AccountGovernancePage.jsx	integration/master-production-20260828:index@4d2925e5d0029924c3e6cafa4b11278d6f407f42	72df9a9b3b3ea551a55ec91ae1ca383281825075	ec7ef631b694f5c54c8a56fc25385e00c9f857eb	exact-production-dist-parity; frontend build input	no-bytes-changed
frontend/src/admin/pages/AgentSkillLibraryPage.jsx	integration/master-production-20260828:index@4d2925e5d0029924c3e6cafa4b11278d6f407f42	5ccd4f5b4a613f74c7d1df17e61c0d207578eac0	8bdf2b6f2529b2f93d2cc4ca1d479b238bfe704c	exact-production-dist-parity; frontend build input	no-bytes-changed
frontend/src/admin/pages/DashboardPage.jsx	integration/master-production-20260828:index@4d2925e5d0029924c3e6cafa4b11278d6f407f42	bcc35dec59b9c428c994b4cf4e285358766692a8	9ab5441a9e6e3ccef65f1b8b647bceacc03a74fd	exact-production-dist-parity; frontend build input	no-bytes-changed
frontend/src/admin/pages/ErrorLogPage.jsx	integration/master-production-20260828:index@4d2925e5d0029924c3e6cafa4b11278d6f407f42	5ccd4f5b4a613f74c7d1df17e61c0d207578eac0	d3f9e94f7a1f5e277f926bebe52808c38936bbb8	exact-production-dist-parity; frontend build input	no-bytes-changed
frontend/src/admin/pages/PresetLibraryPage.jsx	integration/master-production-20260828:index@4d2925e5d0029924c3e6cafa4b11278d6f407f42	142b2bcc2eefb070ae9cd8544bd4b71e7ae396bf	5f65cef6e10ce3375032b2206ad5fd5ed62515d8	exact-production-dist-parity; frontend build input	no-bytes-changed
frontend/src/admin/pages/PromptStrategyPage.jsx	integration/master-production-20260828:index@4d2925e5d0029924c3e6cafa4b11278d6f407f42	832e3151c48291a5920732018b863a493e0a5def	ce2f91b4124f54601b85e3786ac2316fbb598673	exact-production-dist-parity; frontend build input	no-bytes-changed
frontend/src/admin/pages/ShuihuoModelCatalogPage.jsx	integration/master-production-20260828:index@4d2925e5d0029924c3e6cafa4b11278d6f407f42	6ee104d5fc2ae876b89f04fbbd412972b51e1d49	b0157111bcfccda2be875d0bd26e97dad09f3c77	exact-production-dist-parity; frontend build input	no-bytes-changed
frontend/src/shared/api/accountAdmin.js	integration/master-production-20260828:index@4d2925e5d0029924c3e6cafa4b11278d6f407f42	a7f9463184e8a8c781bb614e9a7953dbdc2bf2cb	b1349c4aa98de2c84b401f9564fd8f3062637ada	exact-production-dist-parity; frontend build input	no-bytes-changed
frontend/src/shared/api/accountRecovery.js	integration/master-production-20260828:index@4d2925e5d0029924c3e6cafa4b11278d6f407f42	ad7f13c21eab4c7a368f55ddb77986e200f98fd8	6e3a9bc1cef8ab5a1950161c1c5e7f3ec9ba3d38	exact-production-dist-parity; frontend build input	no-bytes-changed
frontend/src/shared/api/admin.js	integration/master-production-20260828:index@4d2925e5d0029924c3e6cafa4b11278d6f407f42	9a1f4a7653b1517cff6406e90c058f101b14d86b	ed7ea6935aee4945e9c2d554718589e3741eb460	exact-production-dist-parity; frontend build input	no-bytes-changed
frontend/src/shared/api/agent.js	integration/master-production-20260828:index@4d2925e5d0029924c3e6cafa4b11278d6f407f42	e73e9209b6811555af8de48c4d48200cf2847361	c39c4b4dd1e8e3cd39627c249aa59bdc077bf23c	exact-production-dist-parity; frontend build input	no-bytes-changed
frontend/src/shared/api/auth.js	integration/master-production-20260828:index@4d2925e5d0029924c3e6cafa4b11278d6f407f42	eeeaa5ccb17db27ae9a54f9552e9f6bd945d9b58	945f2e7110dc07d290dcb0c98608bc9faeaff541	exact-production-dist-parity; frontend build input	no-bytes-changed
frontend/src/shared/api/batchFactory.js	integration/master-production-20260828:index@4d2925e5d0029924c3e6cafa4b11278d6f407f42	d9234e1cf6ad3130bc82eacfd92400c6113c4787	0ddf58e37ece4ca281f51715f7e33ef16f075655	exact-production-dist-parity; frontend build input	no-bytes-changed
frontend/src/shared/api/client.js	integration/master-production-20260828:index@4d2925e5d0029924c3e6cafa4b11278d6f407f42	9a1f4a7653b1517cff6406e90c058f101b14d86b	517c3ef56cc398a082dcc1eabe744f8db6dd7433	exact-production-dist-parity; frontend build input	no-bytes-changed
frontend/src/shared/api/config.js	integration/master-production-20260828:index@4d2925e5d0029924c3e6cafa4b11278d6f407f42	ccee291459718320d96969faca941af0076869e4	b87b43d275ba5a746535d5f5f2275cf9d9d2f280	exact-production-dist-parity; frontend build input	no-bytes-changed
frontend/src/shared/api/generation.js	integration/master-production-20260828:index@4d2925e5d0029924c3e6cafa4b11278d6f407f42	fd3b627e90b1249a1a3e444d3b22303775e7e720	1186cbb051d07b6aa6c2d04c537eb1dba6a909ff	exact-production-dist-parity; frontend build input	no-bytes-changed
frontend/src/shared/api/history.js	integration/master-production-20260828:index@4d2925e5d0029924c3e6cafa4b11278d6f407f42	096c3f3c3eae208a98809c98b9c4fd9c35ea711f	b02f6ec349fcd258d263993ce68989394cdfcbe9	exact-production-dist-parity; frontend build input	no-bytes-changed
frontend/src/shared/api/member.js	integration/master-production-20260828:index@4d2925e5d0029924c3e6cafa4b11278d6f407f42	6cf6942197af2a90357f63f3dd059e77692ced54	b224ab87b53ddfe5d4d32243f162a8fb70edd8cc	exact-production-dist-parity; frontend build input	no-bytes-changed
frontend/src/shared/api/novelFetch.js	integration/master-production-20260828:index@4d2925e5d0029924c3e6cafa4b11278d6f407f42	7580031962998b83d76e4c90ebd98eda56f0eb6c	f1510983da6f2ba8337a36108e1c634f8185eda4	exact-production-dist-parity; frontend build input	no-bytes-changed
frontend/src/shared/api/novelFetchWorkshop.js	integration/master-production-20260828:index@4d2925e5d0029924c3e6cafa4b11278d6f407f42	6f045c56dcc49970fdbe69ecf07e3eab98a952b1	2439304c39de366e118360fa13d8dbd665441950	exact-production-dist-parity; frontend build input	no-bytes-changed
frontend/src/shared/api/platformProjects.js	integration/master-production-20260828:index@4d2925e5d0029924c3e6cafa4b11278d6f407f42	579f34066bc0bf30ff7b6b3a21a6489493164dcd	74e4712fd59133b8c8aa1b24c5238a35a36b5896	exact-production-dist-parity; frontend build input	no-bytes-changed
frontend/src/shared/api/scriptVideo.js	integration/master-production-20260828:index@4d2925e5d0029924c3e6cafa4b11278d6f407f42	a8e4d497e8091e6bc3b1b528bd94f68142558e7e	6e0cf1b82c42a730277a87761df4c7924c5a6608	exact-production-dist-parity; frontend build input	no-bytes-changed
frontend/src/shared/api/shuihuoProduction.js	integration/master-production-20260828:index@4d2925e5d0029924c3e6cafa4b11278d6f407f42	b111737265d9352df9e54cecde7e2df5d2710da4	a9f452d3bda62773aeb491bc24c718da27759ed5	exact-production-dist-parity; frontend build input	no-bytes-changed
